image,action,reason
beacon_000003.jpg,REMOVED,near_duplicate_of:beacon_000002.jpg
beacon_000005.jpg,REMOVED,near_duplicate_of:beacon_000004.jpg
beacon_000011.jpg,REMOVED,near_duplicate_of:beacon_000010.jpg
beacon_000012.jpg,REMOVED,near_duplicate_of:beacon_000010.jpg
beacon_000015.jpg,REMOVED,near_duplicate_of:beacon_000014.jpg
beacon_000018.jpg,REMOVED,near_duplicate_of:beacon_000017.jpg
beacon_000026.jpg,REMOVED,near_duplicate_of:beacon_000000.jpg
beacon_000027.jpg,REMOVED,near_duplicate_of:beacon_000001.jpg
beacon_000028.jpg,REMOVED,near_duplicate_of:beacon_000002.jpg
beacon_000030.jpg,REMOVED,near_duplicate_of:beacon_000004.jpg
beacon_000031.jpg,REMOVED,near_duplicate_of:beacon_000004.jpg
beacon_000032.jpg,REMOVED,near_duplicate_of:beacon_000006.jpg
beacon_000033.jpg,REMOVED,near_duplicate_of:beacon_000007.jpg
beacon_000034.jpg,REMOVED,near_duplicate_of:beacon_000008.jpg
beacon_000035.jpg,REMOVED,near_duplicate_of:beacon_000009.jpg
beacon_000037.jpg,REMOVED,near_duplicate_of:beacon_000036.jpg
beacon_000039.jpg,REMOVED,near_duplicate_of:beacon_000038.jpg
beacon_000042.jpg,REMOVED,near_duplicate_of:beacon_000041.jpg
beacon_000044.jpg,REMOVED,near_duplicate_of:beacon_000043.jpg
beacon_000046.jpg,REMOVED,near_duplicate_of:beacon_000045.jpg
beacon_000048.jpg,REMOVED,near_duplicate_of:beacon_000047.jpg
beacon_000057.jpg,REMOVED,near_duplicate_of:beacon_000056.jpg
beacon_000058.jpg,REMOVED,near_duplicate_of:beacon_000056.jpg
beacon_000059.jpg,REMOVED,near_duplicate_of:beacon_000056.jpg
beacon_000066.jpg,REMOVED,near_duplicate_of:beacon_000065.jpg
beacon_000070.jpg,REMOVED,near_duplicate_of:beacon_000069.jpg
beacon_000073.jpg,REMOVED,near_duplicate_of:beacon_000068.jpg
beacon_000074.jpg,REMOVED,near_duplicate_of:beacon_000056.jpg
beacon_000076.jpg,REMOVED,near_duplicate_of:beacon_000075.jpg
beacon_000078.jpg,REMOVED,near_duplicate_of:beacon_000077.jpg
beacon_000079.jpg,REMOVED,near_duplicate_of:beacon_000077.jpg
beacon_000080.jpg,REMOVED,near_duplicate_of:beacon_000077.jpg
beacon_000081.jpg,REMOVED,near_duplicate_of:beacon_000077.jpg
beacon_000082.jpg,REMOVED,near_duplicate_of:beacon_000077.jpg
beacon_000083.jpg,REMOVED,near_duplicate_of:beacon_000077.jpg
beacon_000084.jpg,REMOVED,near_duplicate_of:beacon_000077.jpg
beacon_000085.jpg,REMOVED,near_duplicate_of:beacon_000077.jpg
beacon_000087.jpg,REMOVED,near_duplicate_of:beacon_000086.jpg
beacon_000088.jpg,REMOVED,near_duplicate_of:beacon_000086.jpg
beacon_000089.jpg,REMOVED,near_duplicate_of:beacon_000086.jpg
beacon_000090.jpg,REMOVED,near_duplicate_of:beacon_000086.jpg
beacon_000091.jpg,REMOVED,near_duplicate_of:beacon_000086.jpg
beacon_000092.jpg,REMOVED,near_duplicate_of:beacon_000086.jpg
beacon_000094.jpg,REMOVED,near_duplicate_of:beacon_000086.jpg
beacon_000095.jpg,REMOVED,near_duplicate_of:beacon_000086.jpg
beacon_000096.jpg,REMOVED,near_duplicate_of:beacon_000077.jpg
beacon_000097.jpg,REMOVED,near_duplicate_of:beacon_000077.jpg
beacon_000098.jpg,REMOVED,near_duplicate_of:beacon_000077.jpg
beacon_000099.jpg,REMOVED,near_duplicate_of:beacon_000077.jpg
beacon_000100.jpg,REMOVED,near_duplicate_of:beacon_000077.jpg
beacon_000101.jpg,REMOVED,near_duplicate_of:beacon_000077.jpg
beacon_000103.jpg,REMOVED,near_duplicate_of:beacon_000102.jpg
beacon_000104.jpg,REMOVED,near_duplicate_of:beacon_000102.jpg
beacon_000105.jpg,REMOVED,near_duplicate_of:beacon_000102.jpg
beacon_000109.jpg,REMOVED,near_duplicate_of:beacon_000106.jpg
beacon_000110.jpg,REMOVED,near_duplicate_of:beacon_000106.jpg
beacon_000111.jpg,REMOVED,near_duplicate_of:beacon_000107.jpg
beacon_000112.jpg,REMOVED,near_duplicate_of:beacon_000106.jpg
beacon_000113.jpg,REMOVED,near_duplicate_of:beacon_000106.jpg
beacon_000114.jpg,REMOVED,near_duplicate_of:beacon_000108.jpg
beacon_000115.jpg,REMOVED,near_duplicate_of:beacon_000108.jpg
beacon_000116.jpg,REMOVED,near_duplicate_of:beacon_000107.jpg
beacon_000117.jpg,REMOVED,near_duplicate_of:beacon_000108.jpg
beacon_000118.jpg,REMOVED,near_duplicate_of:beacon_000106.jpg
beacon_000119.jpg,REMOVED,near_duplicate_of:beacon_000107.jpg
beacon_000120.jpg,REMOVED,near_duplicate_of:beacon_000108.jpg
beacon_000121.jpg,REMOVED,near_duplicate_of:beacon_000106.jpg
