epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,90.8677,4.38771,19.8454,0.01445,0.00021,0.03889,1e-05,0,4.66974,10.654,0.01007,0.000652482,0.000652482,0.000652482
2,182.72,4.48848,8.30501,0.00805,0.00109,0.08889,0.02999,0.0091,4.44032,8.63458,0.00953,0.00125385,0.00125385,0.00125385
3,271.727,4.38632,6.68186,0.00762,0.17553,0.08889,0.03845,0.01026,4.9298,12.4012,0.00783,0.00178922,0.00178922,0.00178922
4,358.191,4.51502,5.37615,0.00777,0.31856,0.13333,0.0671,0.01726,4.11701,4.87645,0.0072,0.001703,0.001703,0.001703
5,446.363,4.48375,4.73403,0.00717,0.49786,0.14874,0.10447,0.02569,4.13232,3.88022,0.00739,0.001604,0.001604,0.001604
6,533.389,4.37013,4.25408,0.00699,0.42735,0.13684,0.11118,0.03159,3.96749,4.25862,0.00644,0.001505,0.001505,0.001505
7,625.36,4.29284,3.86297,0.00663,0.38595,0.15,0.10117,0.02303,3.96414,3.69564,0.00645,0.001406,0.001406,0.001406
8,717.217,4.47069,3.78047,0.00719,0.40541,0.14775,0.09856,0.03029,4.09229,3.61676,0.00672,0.001307,0.001307,0.001307
9,809.169,4.27843,3.53245,0.00659,0.52984,0.16111,0.11569,0.03876,4.16485,3.29534,0.00748,0.001208,0.001208,0.001208
10,901.496,4.29443,3.4634,0.00655,0.50131,0.16667,0.11592,0.04033,3.81825,3.14848,0.00631,0.001109,0.001109,0.001109
11,990.901,4.13863,3.39929,0.00694,0.57103,0.16667,0.14214,0.04297,3.97104,2.88853,0.00696,0.00101,0.00101,0.00101
12,1078.82,3.97285,3.15713,0.00632,0.59822,0.17778,0.15597,0.05296,3.93362,2.78872,0.00649,0.000911,0.000911,0.000911
13,1167.93,3.91091,3.12478,0.00641,0.55812,0.16111,0.13984,0.04584,3.93907,2.89818,0.00614,0.000812,0.000812,0.000812
14,1254.74,3.89008,3.03244,0.00614,0.6176,0.17222,0.15597,0.04908,3.75606,2.72705,0.00597,0.000713,0.000713,0.000713
15,1343.78,3.82133,2.98215,0.00592,0.54776,0.17778,0.14727,0.04923,3.71201,2.71152,0.00576,0.000614,0.000614,0.000614
16,1431.12,3.86049,2.98967,0.00596,0.53264,0.18333,0.15516,0.05563,3.57295,2.83266,0.00556,0.000515,0.000515,0.000515
17,1517.4,3.70903,2.89887,0.00585,0.61786,0.18333,0.16194,0.05913,3.6501,2.60392,0.00599,0.000416,0.000416,0.000416
18,1605.13,3.64915,2.88731,0.00575,0.69569,0.17778,0.16967,0.06435,3.56761,2.57549,0.00574,0.000317,0.000317,0.000317
19,1691.41,3.64087,2.79264,0.00562,0.73371,0.17778,0.17681,0.06727,3.52039,2.51189,0.00577,0.000218,0.000218,0.000218
20,1778.72,3.69723,2.77963,0.00572,0.70215,0.17778,0.17289,0.06535,3.42899,2.46708,0.00543,0.000119,0.000119,0.000119
