epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,183.168,4.38286,16.6038,0.01073,0.23954,0.02631,0.0159,0.00296,3.86693,9.59818,0.00642,0.000659498,0.000659498,0.000659498
2,500.901,4.31841,8.39758,0.00669,0.43311,0.1019,0.10614,0.02075,3.68855,6.3274,0.00678,0.0012824,0.0012824,0.0012824
3,839.39,4.39151,6.50335,0.00697,0.30187,0.12778,0.06805,0.01928,3.97591,6.47855,0.00639,0.0018613,0.0018613,0.0018613
4,1112.41,4.21344,5.2413,0.00639,0.51202,0.12778,0.0905,0.02566,3.9788,4.89602,0.00737,0.001802,0.001802,0.001802
5,1315.75,4.22517,4.71876,0.0062,0.50982,0.16111,0.13489,0.05462,3.83986,3.88368,0.00699,0.001736,0.001736,0.001736
6,1545.63,4.28507,4.27128,0.00628,0.40865,0.17661,0.14597,0.0548,3.62478,3.61431,0.00603,0.00167,0.00167,0.00167
7,1776.26,4.10617,3.78734,0.00582,0.49528,0.18889,0.14869,0.06513,3.67759,3.34827,0.00615,0.001604,0.001604,0.001604
8,1941.03,4.23011,3.71134,0.00634,0.60186,0.17778,0.16148,0.04889,3.48897,3.3381,0.00587,0.001538,0.001538,0.001538
9,2081.51,4.03343,3.49402,0.00583,0.59866,0.16111,0.12865,0.044,3.68182,3.05755,0.00657,0.001472,0.001472,0.001472
10,2373.48,4.19243,3.47607,0.00593,0.69034,0.19444,0.18038,0.06814,3.74585,2.97208,0.00692,0.001406,0.001406,0.001406
11,2840.36,4.04194,3.24744,0.00567,0.55172,0.20556,0.17857,0.07824,3.64099,2.83302,0.00638,0.00134,0.00134,0.00134
12,3212.44,3.99941,3.29662,0.00562,0.6459,0.18333,0.15571,0.06731,3.63716,2.89134,0.00597,0.001274,0.001274,0.001274
13,3384.02,4.14921,3.31646,0.00575,0.64375,0.2,0.17891,0.06202,3.8956,2.86063,0.00728,0.001208,0.001208,0.001208
14,3581.63,3.81806,3.20951,0.00527,0.56379,0.2,0.18623,0.08758,3.63222,2.88045,0.00613,0.001142,0.001142,0.001142
15,3755.86,3.88828,3.12273,0.00525,0.6672,0.17778,0.17414,0.0915,3.50207,2.70511,0.00614,0.001076,0.001076,0.001076
16,3911.91,3.88144,3.15979,0.00522,0.63426,0.19444,0.20577,0.08448,3.38174,2.67016,0.00573,0.00101,0.00101,0.00101
17,4170.81,3.84658,3.02434,0.00524,0.76105,0.21111,0.206,0.07015,3.24606,2.52938,0.00533,0.000944,0.000944,0.000944
18,4347.62,3.88437,2.89156,0.00525,0.77346,0.19444,0.18483,0.08369,3.3721,2.61799,0.00582,0.000878,0.000878,0.000878
19,4541.04,3.66963,2.87925,0.00496,0.55473,0.18889,0.17706,0.07189,3.36406,2.59043,0.00551,0.000812,0.000812,0.000812
20,4735.56,3.65077,2.87676,0.00475,0.53794,0.18889,0.18255,0.08101,3.22066,2.46974,0.00533,0.000746,0.000746,0.000746
21,4904.25,3.62604,2.88258,0.00522,0.58976,0.19444,0.19377,0.09117,3.09901,2.4705,0.00477,0.00068,0.00068,0.00068
22,5097.52,3.54217,2.78392,0.0049,0.58111,0.19444,0.19723,0.08785,3.19401,2.58239,0.00517,0.000614,0.000614,0.000614
23,5275.84,3.43578,2.74621,0.00473,0.7709,0.19444,0.19974,0.09365,3.07528,2.41541,0.00497,0.000548,0.000548,0.000548
24,5445.37,3.35734,2.70905,0.00468,0.70814,0.20556,0.20415,0.09201,3.1507,2.43147,0.0052,0.000482,0.000482,0.000482
25,5605.9,3.31973,2.67033,0.0045,0.7862,0.20556,0.21071,0.09946,2.83687,2.36137,0.00445,0.000416,0.000416,0.000416
26,5834.15,3.22293,2.63166,0.00437,0.76778,0.19444,0.20293,0.09688,2.86484,2.25944,0.0045,0.00035,0.00035,0.00035
27,6016.85,3.16983,2.58172,0.00426,0.74852,0.19846,0.20546,0.09344,2.86921,2.27309,0.00449,0.000284,0.000284,0.000284
28,6203.04,3.2782,2.62684,0.00442,0.71977,0.2,0.20299,0.09764,2.89036,2.25237,0.00456,0.000218,0.000218,0.000218
29,6387.62,3.17537,2.55699,0.00425,0.74991,0.1999,0.20881,0.10015,2.77964,2.22882,0.00433,0.000152,0.000152,0.000152
30,6575.04,3.06464,2.51984,0.00401,0.68182,0.20556,0.21723,0.09927,2.78538,2.23742,0.00432,8.6e-05,8.6e-05,8.6e-05
